Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2021-06-07,BZX Equities (Z),167490033,77964695,153977587,399432315,8227746281.352499,6593587360.154298,10341780322.461500,25163113963.968297,2025175,524268,1916275,4465718
2021-06-04,NYSE American (A),12731374,33747613,9159249,55638236,498487628.720000,706412656.648300,533660984.305700,1738561269.674000,193099,112691,132167,437957
2021-06-04,NASDAQ BX (B),27306136,11296604,25431862,64034602,1258031948.938500,867566368.188400,1755637674.636100,3881235991.763000,354198,76484,339423,770105
2021-06-04,NYSE National (C),53946540,22135762,28376885,104459187,1537975144.814200,1122882759.104200,955570273.030800,3616428176.949200,533257,124556,334360,992173
2021-06-04,FINRA / Nasdaq TRF Chicago (DB),7849895,2816956,13227686,23894537,311590048.550300,69004318.651100,555001352.211700,935595719.413100,43338,8065,56719,108122
2021-06-04,FINRA / NYSE TRF (DN),280498403,151180526,534251036,965929965,9796014087.602501,4151368098.784200,13451699706.521705,27399081892.908406,1648118,343246,1710697,3702061
2021-06-04,FINRA / Nasdaq TRF Carteret (DQ),1409011753,593659104,1691887707,3694558564,60208949457.128812,29914033992.347180,65739848215.107810,155862831664.583802,7029289,1559807,6391342,14980438
2021-06-04,MIAX Pearl (H),7481675,5959519,9363174,22804368,383854579.739700,331365751.116800,672150114.595800,1387370445.452300,92993,30590,92241,215824
2021-06-04,EDGA Equities (J),59336035,25180773,49938391,134455199,2950630130.400000,1626494666.429200,2815613400.456701,7392738197.285901,834038,195242,732893,1762173
2021-06-04,EDGX Equities (K),290178008,108481710,327878355,726538073,10814926432.243898,5024210659.910700,13737174016.278207,29576311108.432805,2175167,480323,2136416,4791906
2021-06-04,LTSE (L),714,202,24986,25902,153006.780000,6896.120000,829346.290000,989249.190000,25,4,190,219
2021-06-04,NYSE Chicago (M),4564353,682800,1846018,7093171,250679719.224500,84420944.650000,265539143.973700,600639807.848200,8386,1585,8183,18154
2021-06-04,NYSE (N),801902804,30210472,59485961,891599237,41183456556.679103,2403926065.729101,3247864979.209300,46835247601.617504,3389746,116687,420394,3926827
2021-06-04,NYSE Arca (P),267909395,225494471,321193347,814597213,11898363622.178899,16210753636.364407,16180629300.108302,44289746558.651608,2664482,964549,2669883,6298914
2021-06-04,NASDAQ (Q),452528504,134334488,858127220,1444990212,23395656370.260007,10489165108.899698,54736034331.402497,88620855810.562202,5138020,808443,6852052,12798515
2021-06-04,Members Exchange (U),104948882,43755884,131983618,280688384,3070096757.599200,1573911483.560900,2807397391.648000,7451405632.808100,975576,188728,847598,2011902
2021-06-04,Investors Exchange (V),118674688,18219683,85118560,222012931,6802624494.819600,1314192655.031600,6565081847.251497,14681898997.102697,1330528,127586,1067497,2525611
2021-06-04,NASDAQ PSX (X),24432269,15364840,23525942,63323051,716371514.491000,1279626373.092300,1562153031.346100,3558150918.929400,165290,80607,178183,424080
2021-06-04,BYX Equities (Y),58048280,30114987,47942527,136105794,2225156185.275400,2155191733.932100,2156162070.591900,6536509989.799400,638421,174036,508534,1320991
2021-06-04,BZX Equities (Z),158443745,76152598,141953244,376549587,7813041879.723899,6294719460.750100,11023470121.266700,25131231461.740699,1828753,477734,1681182,3987669
2021-06-03,NYSE American (A),14161002,34360818,10545013,59066833,524479049.685000,693891231.208200,451154202.921900,1669524483.815100,159980,124402,114215,398597
2021-06-03,NASDAQ BX (B),36282993,14249521,28174650,78707164,1663797802.256800,1336903120.046299,1671925505.406200,4672626427.709299,451210,96762,384889,932861
2021-06-03,NYSE National (C),57324604,23617053,32607976,113549633,1579243449.351300,1202690599.228200,967117865.931600,3749051914.511100,561521,128667,349524,1039712
2021-06-03,FINRA / Nasdaq TRF Chicago (DB),14346397,3512006,16540631,34399034,508598890.300400,90751056.194900,616429045.185300,1215778991.680600,76434,9610,57733,143777
2021-06-03,FINRA / NYSE TRF (DN),419093683,160053201,663668943,1242815827,13536516298.174797,4226011392.534398,13458860413.616005,31221388104.325200,2593566,344385,1997569,4935520
2021-06-03,FINRA / Nasdaq TRF Carteret (DQ),1904735082,575239743,2052043679,4532018504,77207708884.597013,28627473777.602109,68103056903.234216,173938239565.433338,9601842,1673414,7172296,18447552
2021-06-03,MIAX Pearl (H),8043536,8861726,11011666,27916928,425837300.943300,440027591.677700,778288439.119300,1644153331.740300,103763,36943,98263,238969
2021-06-03,EDGA Equities (J),74893362,30157188,63170560,168221110,3328312403.300500,1923692334.689900,2909447002.403100,8161451740.393500,997932,236556,823314,2057802
2021-06-03,EDGX Equities (K),414106840,120740842,421778846,956626528,14767307700.711498,6185652655.524999,14805329231.652004,35758289587.888501,3064747,576541,2436748,6078036
2021-06-03,LTSE (L),1134,300,28956,30390,409037.610000,4998.000000,2419059.540000,2833095.150000,34,2,177,213
2021-06-03,NYSE Chicago (M),8612847,947912,1453563,11014322,342702048.145000,86137629.510000,167808300.082000,596647977.737000,9275,1056,8508,18839
2021-06-03,NYSE (N),1036909702,37518185,66677556,1141105443,51177946448.766104,3092209039.136500,3196310413.333700,57466465901.236304,4249461,155083,465901,4870445
2021-06-03,NYSE Arca (P),396146919,301848677,438819444,1136815040,15557202414.409701,20561233805.918398,17546860957.007009,53665297177.335108,3501019,1277231,3224417,8002667
2021-06-03,NASDAQ (Q),640132018,165634792,1079635850,1885402660,30873562625.015299,13251944864.857105,57451659232.573603,101577166722.446007,7136317,1065391,8436345,16638053
2021-06-03,Members Exchange (U),110132804,44426214,138351137,292910155,3154387962.194200,1879113785.891100,2402232153.867200,7435733901.952500,1054553,205681,781460,2041694
2021-06-03,Investors Exchange (V),153347407,21834432,104048716,279230555,8463561423.614801,1458524133.282900,7375423212.402202,17297508769.299903,1612548,146744,1223317,2982609
