Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2024-10-17,NYSE National (C),11403408,7752304,14243133,33398845,419808622.818600,285375206.763300,367285845.832900,1072469675.414800,144844,42496,118997,306337
2024-10-17,FINRA / Nasdaq TRF Chicago (DB),6964291,3417078,14946841,25328210,356990378.820700,136769172.265400,951908326.951000,1445667878.037100,62319,17252,118370,197941
2024-10-17,FINRA / NYSE TRF (DN),61461082,40798500,202384922,304644504,2868786477.666101,1763856929.807201,5735173563.132102,10367816970.605404,503260,169931,686007,1359198
2024-10-17,FINRA / Nasdaq TRF Carteret (DQ),1537575465,850614889,2911486183,5299676537,84577724607.947992,43176882832.203217,110689400005.512223,238444007445.663432,12468208,3049626,14189635,29707469
2024-10-17,MIAX Pearl (H),45359880,58562768,72771066,176693714,1075926610.003700,1865536138.553100,1701378053.338800,4642840801.895600,395117,172302,429228,996647
2024-10-17,EDGA Equities (J),21223178,16744418,53233324,91200920,1081541576.536000,651034696.701000,1076733782.518099,2809310055.755099,298766,89790,313255,701811
2024-10-17,EDGX Equities (K),127381660,120441193,375201975,623024828,5949861585.104297,5481479324.419104,14633126695.359693,26064467604.883094,1125367,580692,2292505,3998564
2024-10-17,LTSE (L),10662482,1771664,11955617,24389763,1239905496.618000,375524646.494100,1117224955.287700,2732655098.399800,91803,6429,80181,178413
2024-10-17,NYSE Chicago (M),6197080,18088387,19201375,43486842,581640698.666100,1901264210.765000,2125717060.324100,4608621969.755200,14946,5584,17983,38513
2024-10-17,NYSE (N),816407247,39338398,66493324,922238969,50897456521.747304,2092527323.184399,2995672823.006000,55985656667.937703,3024340,148099,517535,3689974
2024-10-17,NYSE Arca (P),159200473,326577048,551649992,1037427513,8658018929.763799,19233452722.055595,16471823442.629590,44363295094.448984,1830170,1338246,3782399,6950815
2024-10-17,NASDAQ (Q),348325182,160177490,1131356147,1639858819,21083395901.550511,10118076695.036002,67039312159.604500,98240784756.191013,5264399,926051,8383097,14573547
2024-10-17,Members Exchange (U),52183130,45387568,136903391,234474089,2486680705.032100,2151865227.219699,3985293580.374399,8623839512.626198,689710,209279,832890,1731879
2024-10-17,Investors Exchange (V),141087768,48982701,128034036,318104505,8670170387.829400,2468240126.792800,7378307836.774203,18516718351.396403,1699465,249604,1454924,3403993
2024-10-17,NASDAQ PSX (X),5751343,5276446,9552250,20580039,389279154.333700,448615891.090300,445253508.435600,1283148553.859600,85599,28674,102436,216709
2024-10-17,BYX Equities (Y),26087585,15884468,32722331,74694384,1117957324.577200,651062655.881800,1147652622.630000,2916672603.089000,355693,85544,352477,793714
2024-10-17,BZX Equities (Z),153978172,107215339,187895319,449088830,8788699059.046702,6355487617.770902,10909278192.226799,26053464869.044403,2232832,554256,2126143,4913231
2024-10-16,NYSE American (A),5188654,17603102,5540828,28332584,267304377.304900,256751159.256700,264144183.406500,788199719.968100,62334,63579,52217,178130
2024-10-16,NASDAQ BX (B),9180993,7938341,11979146,29098480,633648912.402200,394364505.964400,674821359.385100,1702834777.751700,133458,70125,158664,362247
2024-10-16,NYSE National (C),11525061,7508721,13097282,32131064,365563702.336300,254631897.732100,340377377.614200,960572977.682600,137552,40713,115910,294175
2024-10-16,FINRA / Nasdaq TRF Chicago (DB),6790151,3718898,14508033,25017082,279905884.459400,138809278.718700,975472180.635900,1394187343.814000,58707,17033,127297,203037
2024-10-16,FINRA / NYSE TRF (DN),56889538,39573029,177371288,273833855,2423189838.979501,1978219128.604500,4421881600.938599,8823290568.522600,491645,164686,679324,1335655
2024-10-16,FINRA / Nasdaq TRF Carteret (DQ),1552697330,847510501,2625163124,5025370955,76728251192.493907,40619178077.306742,106178076749.382559,223525506019.183208,12421442,3052180,14036560,29510182
2024-10-16,MIAX Pearl (H),45652857,53120833,66631319,165405009,1071804814.856200,1762573711.120400,1567737143.201700,4402115669.178300,403982,164058,409427,977467
2024-10-16,EDGA Equities (J),21986529,15098902,46118597,83204028,1011769970.551500,560163434.413000,999470482.512600,2571403887.477100,290491,84027,310572,685090
2024-10-16,EDGX Equities (K),134022618,110840395,353899121,598762134,5489096977.422601,4937355454.228200,13561250474.405599,23987702906.056400,1136044,529700,2186164,3851908
2024-10-16,LTSE (L),12236244,3398875,13504104,29139223,1229331202.087700,400334605.069000,1162677637.600500,2792343444.757200,102194,7945,94798,204937
2024-10-16,NYSE Chicago (M),7865870,15495960,17912230,41274060,656513176.405100,1788502156.010200,2148821172.629700,4593836505.045000,16187,6071,18286,40544
2024-10-16,NYSE (N),818281002,38574003,61923064,918778069,48352545067.846209,1941574583.066700,2786095246.925000,53080214897.837909,3022406,143295,482730,3648431
2024-10-16,NYSE Arca (P),155113479,292881060,491309662,939304201,7398756792.970398,17163924368.233200,14408112094.580397,38970793255.783995,1736055,1221726,3648036,6605817
2024-10-16,NASDAQ (Q),350649879,147473277,1093799831,1591922987,19632035413.840008,9938906996.755600,63353998219.466639,92924940630.062247,5248604,884297,8281245,14414146
2024-10-16,Members Exchange (U),51519012,41998940,123357514,216875466,2185850322.377800,1924935985.923700,3546895124.095102,7657681432.396602,636451,198966,798166,1633583
2024-10-16,Investors Exchange (V),141620722,48138466,123359396,313118584,8442767693.255900,2362896445.404900,7210634696.089202,18016298834.750002,1724119,242457,1444526,3411102
2024-10-16,NASDAQ PSX (X),5651113,5340808,7299823,18291744,338318230.564000,368175995.572900,394578105.362900,1101072331.499800,85788,26444,99678,211910
2024-10-16,BYX Equities (Y),24244520,15047020,30294741,69586281,1024552182.770700,594630279.944800,1201168755.520600,2820351218.236100,337594,90025,336645,764264
2024-10-16,BZX Equities (Z),150105513,99595708,181577029,431278250,7815871002.072801,6001557588.807401,10018502053.858999,23835930644.739201,2141369,543632,2065179,4750180
2024-10-15,NYSE American (A),5857745,13803176,7710386,27371307,319945401.048500,296722726.631300,398673029.151100,1015341156.830900,73589,59486,64712,197787
