quarter,year,tier,ats_name,total_trades,total_shares,mpid
3,2024,nms,UBS ATS,187694893.00,15016058118.00,UBSA
3,2024,nms,INTELLIGENT CROSS LLC,154001338.00,11800831972.00,INCR
3,2024,nms,SIGMA X2,143824937.00,10516236446.00,SGMT
3,2024,nms,LEVEL ATS,160728224.00,7106673331.00,EBXL
3,2024,nms,MS POOL (ATS-4),33593653.00,6295084342.00,MSPL
3,2024,nms,INSTINCT X,46300715.00,5884670629.00,MLIX
3,2024,nms,MS TRAJECTORY CROSS (ATS-1),62392153.00,4587545681.00,MSTX
3,2024,nms,JPM-X,37751112.00,3602342824.00,JPMX
3,2024,nms,THE BARCLAYS ATS,30922462.00,3336326075.00,LATS
3,2024,nms,BIDS ATS,2869314.00,2494475993.00,BIDS
3,2024,nms,IBKR ATS,13160025.00,2277641131.00,IATS
3,2024,nms,VIRTU MATCHIT ATS,22185462.00,2227216886.00,KCGM
3,2024,nms,PURESTREAM,53553482.00,2069331479.00,PURE
3,2024,nms,JPB-X,11930248.00,1751225345.00,JPBX
3,2024,nms,ONECHRONOS,15807458.00,1590502474.00,CGXS
3,2024,nms,CROSSSTREAM,4342850.00,1509752829.00,XSTM
3,2024,nms,POSIT,3179296.00,1168189947.00,ITGP
3,2024,nms,CITI-ONE ATS,13027588.00,1114692692.00,ONEC
3,2024,nms,MS RPOOL (ATS-6),8192095.00,944825690.00,MSRP
3,2024,nms,LIQUIDNET H2O ATS,97585.00,831141870.00,LQNA
3,2024,nms,BOATS,8894076.00,786043747.00,BLUE
3,2024,nms,CBX,11348119.00,770808388.00,ICBX
3,2024,nms,BNPP CORTEX ATS,8383452.00,674449368.00,BNPX
3,2024,nms,DEALERWEB,4574.00,659534885.00,DLTA
3,2024,nms,INSTINET BLOCKCROSS,70056.00,634751157.00,BLKX
3,2024,nms,LIQUIDNET NEGOTIATION ATS,13201.00,354030500.00,LQNT
3,2024,nms,LUMINEX ATS,7439.00,197368523.00,LMNX
3,2024,nms,CODA,1548206.00,183910866.00,CODA
3,2024,nms,IBKR EOS ATS,259693.00,54330793.00,IEOS
3,2024,nms,STIFEL X,165155.00,17222541.00,STFX
4,2024,nms,UBS ATS,201822557.00,15491698172.00,UBSA
4,2024,nms,INTELLIGENT CROSS LLC,184912332.00,13747735196.00,INCR
4,2024,nms,SIGMA X2,170029619.00,10795247384.00,SGMT
4,2024,nms,LEVEL ATS,154657773.00,7548335271.00,EBXL
4,2024,nms,INSTINCT X,57916738.00,6880371107.00,MLIX
4,2024,nms,MS POOL (ATS-4),32550829.00,6501709721.00,MSPL
4,2024,nms,MS TRAJECTORY CROSS (ATS-1),130760562.00,5828543526.00,MSTX
2,2023,otc,OTC LINK NQB IDQS,700833.00,14519940609.00,OTCN
2,2023,otc,OTC LINK ECN ATS,804564.00,1723519803.00,OTCX
2,2023,otc,GLOBAL OTC,1215950.00,435112065.00,ARCA
2,2023,otc,"LODAS SECURITIES, LLC",115.00,1396692.00,ALTS
2,2023,otc,"TZERO ATS, LLC",2721.00,870677.00,PROS
2,2023,otc,NORTH CAPITAL PRIVATE SECURITIES CORPORATION,34155.00,195651.00,PPEX
2,2023,otc,"FNC AG STOCK, LLC",52.00,174055.00,FNCA
2,2023,otc,"VARIABLE INVESTMENT ADVISORS, INC.",31.00,172500.00,VIAT
2,2023,otc,SECURITIZE MARKETS ATS,248.00,59457.00,SMKT
2,2023,otc,STARTENGINE SECONDARY,3.00,74.00,STEN
4,2024,nms,JPM-X,38973598.00,3601271606.00,JPMX
4,2024,nms,THE BARCLAYS ATS,29318953.00,3575422433.00,LATS
4,2024,nms,PURESTREAM,75299435.00,2780616425.00,PURE
4,2024,nms,BIDS ATS,3662224.00,2561427112.00,BIDS
4,2024,nms,IBKR ATS,17338426.00,2489827986.00,IATS
4,2024,nms,VIRTU MATCHIT ATS,22351153.00,2304025612.00,KCGM
4,2024,nms,ONECHRONOS,24170923.00,2295279632.00,CGXS
4,2024,nms,JPB-X,15155788.00,2248875418.00,JPBX
4,2024,nms,CROSSSTREAM,5004833.00,1662350162.00,XSTM
4,2024,nms,POSIT,2943106.00,1193426102.00,ITGP
4,2024,nms,CITI-ONE ATS,11201294.00,1058629922.00,ONEC
4,2024,nms,CBX,15401101.00,1014642471.00,ICBX
4,2024,nms,LIQUIDNET H2O ATS,176553.00,847339752.00,LQNA
4,2024,nms,BNPP CORTEX ATS,8248202.00,730873177.00,BNPX
4,2024,nms,INSTINET BLOCKCROSS,119437.00,710915122.00,BLKX
4,2024,nms,BOATS,4947505.00,699587345.00,BLUE
4,2024,nms,DEALERWEB,5014.00,649149763.00,DLTA
4,2024,nms,MS RPOOL (ATS-6),5972545.00,620797174.00,MSRP
4,2024,nms,LIQUIDNET NEGOTIATION ATS,13330.00,356904930.00,LQNT
4,2024,nms,CODA,1758339.00,211109099.00,CODA
4,2024,nms,LUMINEX ATS,7194.00,194022588.00,LMNX
4,2024,nms,IBKR EOS ATS,386524.00,74758473.00,IEOS
4,2024,nms,STIFEL X,205108.00,18838474.00,STFX
1,2025,nms,INTELLIGENT CROSS LLC,265151223.00,20436991472.00,INCR
1,2025,nms,UBS ATS,250273985.00,20274485752.00,UBSA
1,2025,nms,SIGMA X2,191474217.00,12680394452.00,SGMT
1,2025,nms,LEVEL ATS,194073265.00,10090497040.00,EBXL
1,2025,nms,INSTINCT X,81878032.00,8732490740.00,MLIX
1,2025,nms,MS POOL (ATS-4),42803682.00,8662281023.00,MSPL
1,2025,nms,MS TRAJECTORY CROSS (ATS-1),175446750.00,7429199169.00,MSTX
1,2025,nms,JPM-X,52668402.00,5218575418.00,JPMX
1,2025,nms,PURESTREAM,128184995.00,4966493507.00,PURE
1,2025,nms,THE BARCLAYS ATS,32291231.00,4078762114.00,LATS
1,2025,nms,ONECHRONOS,36252079.00,3261219642.00,CGXS
1,2025,nms,BIDS ATS,4548177.00,3009950084.00,BIDS
